"","Dice","FN","FP","IoU","TN","TP","n_pred","n_ref"
"All",0.662357346677871,3391.27358490566,3575.16037735849,0.546028307153243,5432597.89622642,12211.6698113208,15786.8301886792,15602.9433962264
"F0",0.647469934200461,3479.79245283019,3760.18867924528,0.532146875622,5432412.86792453,12123.1509433962,15883.3396226415,15602.9433962264
"F1",0.659689525255285,3343.00943396226,3740.83018867925,0.54429111688765,5432432.22641509,12259.9339622642,16000.7641509434,15602.9433962264
"F2",0.664225618054316,3245.90566037736,3748.60377358491,0.548397539460135,5432424.45283019,12357.0377358491,16105.641509434,15602.9433962264
"F3",0.663214036387038,3452.33018867925,3749.55660377359,0.546753124213713,5432423.5,12150.6132075472,15900.1698113208,15602.9433962264
"F4",0.667205863306489,3417.33018867925,3513.42452830189,0.550882674079232,5432659.63207547,12185.6132075472,15699.0377358491,15602.9433962264
