"","Dice","FN","FP","IoU","TN","TP","n_pred","n_ref"
"All",0.577048288188841,4010.92452830189,5219.11320754717,0.457443435118485,5429838.81132075,12707.1509433962,17926.2641509434,16718.0754716981
"F0",0.557847136535734,3953.32075471698,5647.05660377359,0.44300020698131,5429410.86792453,12764.7547169811,18411.8113207547,16718.0754716981
"F1",0.570870581694798,4037.71698113208,5442.88679245283,0.453018114065241,5429615.03773585,12680.358490566,18123.2452830189,16718.0754716981
"F2",0.579275802952058,3727.22641509434,5466.49056603774,0.460280695583139,5429591.43396226,12990.8490566038,18457.3396226415,16718.0754716981
"F3",0.581203856644337,4183.84905660377,5540.32075471698,0.462141797087482,5429517.60377358,12534.2264150943,18074.5471698113,16718.0754716981
"F4",0.582881547504907,4063.2641509434,5076.56603773585,0.461147267379319,5429981.35849057,12654.8113207547,17731.3773584906,16718.0754716981
