"","Dice","FN","FP","IoU","TN","TP","n_pred","n_ref"
"All",0.747666405166901,2771.62264150943,1931.20754716981,0.634613179188001,5435356.98113208,11716.1886792453,13647.3962264151,14487.8113207547
"F0",0.737092731865188,3006.2641509434,1873.32075471698,0.62129354426269,5435414.86792453,11481.5471698113,13354.8679245283,14487.8113207547
"F1",0.748508468815772,2648.30188679245,2038.77358490566,0.635564119710059,5435249.41509434,11839.5094339623,13878.2830188679,14487.8113207547
"F2",0.749175433156574,2764.58490566038,2030.71698113208,0.636514383337132,5435257.47169811,11723.2264150943,13753.9433962264,14487.8113207547
"F3",0.745224216129738,2720.81132075472,1958.79245283019,0.631364451339944,5435329.39622642,11767,13725.7924528302,14487.8113207547
"F4",0.751530179108071,2771.39622641509,1950.28301886792,0.640618080779145,5435337.90566038,11716.4150943396,13666.6981132075,14487.8113207547
